标题,totalStarIcon1,resource_date
名不虚传，很值得一看。虽然从苏州过来要坐1个半小时的大巴，但是不虚此行。小桥流水人家的景色，不来会遗憾。有时间应该在周庄小住几日。,5分,2020-12-04
"古镇很悠闲,小吃也多。走走路,坐坐船还是不错的。",5分,2021-01-04
"【趣味】江南水乡秋天的颜色，美到有点不能呼吸 。有时成功就在眼前，但被我们所忽略，导致最终地丧失，把握眼前坚持做好每件事，那么成功将离我们越来越近！
【性价比】景区管理还行",4分,2020-09-26
很不错，江南特色总体超赞，,5分,2021-03-12
虽然周庄没有名川大山，但走在古老的石板路上，欣赏江南水乡的风姿，体会小桥流水的恬静,4分,2021-03-07
景色不错，值得推荐，体验很好，不愧是第一水乡，相对来说还是很棒的…但江南水乡大体相似，入住景区内民宿，等关园后在逛应该不错…不过太累了，没出去，嘻嘻，下次一定试试,5分,2020-10-02
景色很美，有很多美食，真的是小桥流水人家有趣好玩，性价比高，景色不错，总体超赞，,5分,2021-03-13
千万不要在里面吃饭，容易被宰，尤其不要去中市街137号，小迷楼酒家，谁去谁知道，有2份菜单，一份有价格，一份没价格，店家给你推荐的都是不标价格的，鱼居然是按条算的，一下子给我上了6条，鱼头比鱼身子还大的鱼，颇有青岛大虾的感觉有待改进，,3分,2021-02-17
国庆中秋节日期间的周庄古镇绝对是个人流聚集地，本来想晚上去打卡一下灯会，但是奈何人太多。据说，平时8点30以后就免票了，但是节假日，9点左右到达附近，车子已经限流了，停了很远的地方。走进去很久，人流仍然没有散去，10点30以后才免票，所以有很多游客就在门口排队，等待10点30以后免票入场。节日的周庄，人气爆棚，商业气息也很是浓郁！如果不想人流扎堆，还是选择其他相对人气不是太旺盛的小镇吧！,3分,2020-10-04
前段时间和姐姐突发奇想去周庄。前一年其实来了三次周庄，但是依然对周庄的美感到赞叹。作为苏州人，苏州附近这么多的古镇，最爱的还是同里和周庄。一个袖珍却不失江南古镇所有的秀美，一个又处处透着淳朴。这几年古镇风起来后，感受到好像每个点都充满了游客。但是能够在喧闹中找到一家安静的喝茶好去处真的让那一天得到了放松。,5分,2020-09-29
"小小的周庄古镇四面环水,河道贯通全镇,依水成街左边是水,右边也是水!这水做的小镇,水做的周庄，一切都很惬意。周庄因桥闻名,不仅有14座建自元明清的古桥,以街为市是特色,我们都是匆匆的过客,疫情当下的夜周庄,仍有一番值得回味的“新景象”…😷🤗",5分,2020-08-29
性价比高，总体超赞，景色不错，双桥边，非常方便，老板出门迎接，进店出店非常热情,5分,2021-03-12
喜欢这样的水乡古镇，最好不是节假日去，不那么人挤人，才能体会小镇的宁静特色！,4分,2021-03-14
购买的解读忘记听了 想问可以退款吗😂，周庄古镇非常非常非常非常非常非常非常非常非常非常非常满意，值得一看，打卡必备地,5分,2020-10-05
白天漫步，品尝当地菜，晚上游船夜景，超级赞。玩一整天，欣赏全天的美景。,4分,2020-12-30
值得一去，就是灯光秀要等到8点，时间太晚了，希望可以人性化一点。,5分,2020-12-22
老板娘特别好，来回解送，住宿额度地方也特别干净，总体来说非常棒,5分,2021-03-12
很棒哦，朋友很喜欢，下次再去，风景好看，工作人员友善，很喜欢里面的氛围，朋友们很开心，周庄的水乡真的有特点，下次叫爸妈一起,5分,2020-12-31
周庄离上海不远，周末出游很开心，旅游团游客不多，找个沿河边的饭店吃午饭很舒服，摇橹船可以体验一下。周庄的桥很多，双桥比较出名，随意走走就好。下午可以在古戏台看看戏，三毛茶楼喝喝茶。,4分,2020-11-29
要认真看的  至少腾出三小时时间  去的太匆忙了  没有看完就走了  但是里面确实很惬意 出太阳时坐在小河边上很舒服   再去学习一下周庄的故事  增长见识,5分,2020-11-11
江南水乡古镇的经典代表，小桥流水人家的画面仿佛回到了从前。,4分,2021-02-27
小桥流水的周庄，江南水乡韵味，值得一游,4分,2021-02-17
帮亲戚家人预订的。很好(✪▽✪)很漂亮的古镇。很有韵味。,5分,2021-03-11
江南水乡值得一游,5分,2020-12-31
周庄是水乡第一古镇，另外说到周庄就不能不说桥。周庄的桥，古意朴拙，形态各异，耐人寻味，周庄开发的比较早也比较成熟了。商业味道比较浓。,3分,2020-12-29
风景不错，周边停车方便，活动价格还是挺实惠的。晚上看的演出也还可以。景色不错，性价比高，,5分,2020-10-30
里面吃饭的地方很多，价格也都挺合理的。逛逛一天很休闲，没有住宿也没看夜景，下次有机会再去,5分,2020-10-07
性价比很高，携程也非常方便，下次还会选择携程,5分,2021-03-10
古老的庄园     古镇，适合你的各种发现，有美食   有美景，更适合和三两好友一起玩了。等你哦～一,5分,2021-01-01
我们是晚上六点多去的，夜景很漂亮，别有一番风情。据说晚上八点后免费开放。不过那个时候很多小景点也关门了，可以坐手摇船，白天150，晚上180，在古镇里穿梭很是惬意,5分,2020-09-24
有趣好玩，性价比高，总体超赞，景色不错，,5分,2021-03-09
总体超赞，性价比高，有趣好玩，景色不错，,5分,2021-03-08
有趣好玩，景色不错，总体超赞，性价比高，,5分,2021-02-21
性价比高，有趣好玩，总体超赞，景色不错，,5分,2021-02-19
水乡古镇，小桥流水，游玩还可以，找了一家咖啡店，凉快凉快，聊聊天挺好！万三猪蹄很香，顶饿，不过有点咸！有机会值得再次游玩,4分,2021-02-18
想着十一假期带着家人一起到上海周边走一走，很久以前来过一次周庄，印象中周庄古镇氛围还是很好的。这次来相对来说还是有些失望的。首先景区门票不算便宜，景区也在揍商业化，但是感觉整体规划跟乌镇差太多了…人气跟以前相比也差了不少，希望周庄能加油改进越来越好吧性价比低，可玩性低，,3分,2021-02-07
"周庄古镇位于苏州城东南，昆山、吴江、上海三地交界处，是世界文化遗产预选地、首批国家5A级旅游景区

周庄古镇四面环水，因河成镇，依水成街，以街为市。主要景点有富安桥、双桥、沈厅等。井字型河道上完好保存着14座建于元、明、清各代的古石桥。800多户原住民枕河而居，60%以上的民居依旧保存着明清时期的建筑风貌",5分,2020-11-09
作为一个北方人，二十年前来过，第一次见水乡，印象不错，这次重来，没有想象的那么好,4分,2020-10-20
"周庄古镇是世界文化遗产预选地、首批国家5A级旅游景区，位于苏州城东南，位于昆山、吴江、上海三地交界处。
周庄古镇四面环水，因河成镇，依水成街，以街为市。井字型河道上完好保存着14座建于元、明、清各代的古石桥。800多户原住民枕河而居，60%以上的民居依旧保存着明清时期的建筑风貌。",5分,2020-05-26
史载于1086年的古镇周庄，位于上海、苏州、杭州之间。镇为泽国，四面环水，咫尺往来，皆须舟楫。全镇依河成街，桥街相连，深宅大院，重脊高檐，河埠廊坊，过街骑楼，穿竹石栏，临河水阁，一派古朴幽静，是江南典型的小桥流水人家。,5分,2020-05-05
"江南六大古镇里开发最早最有代表性，同时也是管理最差的古镇。周围交通很便利，上海苏州昆山都可以坐大巴直达周庄客运站，再换程到周庄新排楼的公交车，周庄南边的汽车站有往返与同里的公交车，车程半个多小时。
多数古镇的商业化已经和古镇融为了一体，其实本身也成了一种旅游资源，而周庄的商业化确实是我见过的最重，甚至有些过分，就差直接拽客人了，只要一进店不给一点思考的时间就开始疯狂推销。要说景区最安静的应该是工作人员，要不一句话不说，要不态度很差，进门检票的时候没有一句客气点儿的话，就皱着眉头说了俩字“票呢?”就好像所有人都欠她钱一样。
访遍明山大川，四大古城，六大古镇，对这周庄这个景区真的很失望，希望景区挣了那么多钱的同时，可以好好整顿一下里面的商铺，也给员工发点儿像样的薪水，别总带着怨气上班。",4分,2019-04-03
周庄：一个传统的江南水乡，留给我们的既有斑驳的白墙，也有烤黑的石板地。行走其中，总能感觉到一种历史的沧桑，确实是个有些年岁的古镇，留下的先人痕迹没有改变，留下的石拱桥和一汪碧水没有改变，留下的惬意的生活气息没有改变。虽然商业味渐浓，但古镇的人尽量还原着曾经的一切，让传统得以传承。置身周庄古镇，就是在一个非物质文化遗产里面。直到现在我才知道，别说是张厅、沈厅，就连这些老旧的街道瓦房，铺着石板的拱桥，都是非物质文化遗产，完好保存的14座古石桥分别建于元、明、清各代，60[%]以上的民居依旧保存着明清时期的建筑风貌，整个周庄古镇是世界文化遗产预选地。绝对要在古镇住宿一晚，等熙熙攘攘的游客退去的之际，才是真真体会她精髓之时。特别是清晨，在一场漫天大雪后，太阳缓缓撒向古镇时，你才会真正领略到她无与伦比的美。,5分,2019-02-15
"其实直到周四以前，周庄这个地方都还不在我旅行的地图上。理由呢有两点，我去过同里，木渎，南浔，西塘，我想不出这里还会带给我什么新意。其次他是江南第一水乡，我怕她俗了。以至于我家人让我写写，最初我都赖得动笔，不过现在看来周庄没有辱没这个头衔，我是俗了。但要比个江南第一，天不黑怕是分不出高下。（这里我附了几张图大伙自行体会）
其实我是赶着雨来的，小时候耳熟能详的那么一个词“烟雨江南”。所以你下雨，我赴约。见了烟当然也要看看雨。
但每每遇见陌生的美景，它留给我的第一印象必然是味道，“吃”这个字就像我的信条。而周庄给我的第一个味道是“酸”，炸好的熏鱼排，烧鸡块，干河虾搭配雪菜，“奥灶面”灶台上的奥妙是它名字的由来。以田螺熬制的汤头给我新奇酸爽无比，在来一整只“万三蹄膀”，要说舌尖上的体验那我无以言表。午后泡一壶“阿婆茶”配上精致的苏式糕点，热茶带着苦涩的酸味中和了点心的甜，到了胃里就变成一股安逸温暖。
当然这里喧嚣异常，游客永远是美景最大的杀手，我住了一夜才得以从他们手中偷些清净。
可很难想象这里来自明朝，但它仍然坚定的保留着自己的痕迹，你所看到的水，墙，柱子甚至灯笼无不在像你诉说它的过往。我在这里迷失了，每条街道要来回走几遍，可每次重逢仍旧新鲜。编棕榈叶的大叔，缝着苏绣的老奶奶，一盆盆爽脆甘甜的马蹄。稍一转弯，他们就躲了起来。
其实周庄就像一个你爱的姑娘，说不出她如何美，说到姑娘我又总是迟钝。但倘若你真想见她，那么她就在这里等着你。这可真好，我会在来。
          ——2018.4.14   周庄",5分,2018-04-16
